url,people,rate
https://leetcode.cn/problems/form-largest-integer-with-digits-that-add-up-to-target,238,0.623
https://leetcode.cn/problems/maximum-number-of-darts-inside-of-a-circular-dartboard,43,0.383
https://leetcode.cn/problems/max-dot-product-of-two-subsequences,136,0.483
https://leetcode.cn/problems/cherry-pickup-ii,118,0.625
https://leetcode.cn/problems/probability-of-a-two-boxes-having-the-same-number-of-distinct-balls,74,0.62
https://leetcode.cn/problems/paint-house-iii,198,0.662
https://leetcode.cn/problems/allocate-mailboxes,101,0.629
https://leetcode.cn/problems/sales-by-day-of-the-week,74,0.567
https://leetcode.cn/problems/kth-ancestor-of-a-tree-node,164,0.461
https://leetcode.cn/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,156,0.661
https://leetcode.cn/problems/parallel-courses-ii,107,0.515
https://leetcode.cn/problems/max-value-of-equation,175,0.483
https://leetcode.cn/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,103,0.409
https://leetcode.cn/problems/stone-game-iv,110,0.609
https://leetcode.cn/problems/best-position-for-a-service-centre,75,0.351
https://leetcode.cn/problems/move-sub-tree-of-n-ary-tree,19,0.534
https://leetcode.cn/problems/maximum-number-of-non-overlapping-substrings,90,0.363
https://leetcode.cn/problems/find-a-value-of-a-mysterious-function-closest-to-target,79,0.442
https://leetcode.cn/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array,100,0.659
https://leetcode.cn/problems/string-compression-ii,51,0.39
https://leetcode.cn/problems/get-the-maximum-score,135,0.405
https://leetcode.cn/problems/find-longest-awesome-substring,82,0.451
https://leetcode.cn/problems/minimum-cost-to-cut-a-stick,120,0.575
https://leetcode.cn/problems/the-most-similar-path-in-a-graph,25,0.674
https://leetcode.cn/problems/minimum-number-of-days-to-eat-n-oranges,153,0.33
https://leetcode.cn/problems/stone-game-v,81,0.398
https://leetcode.cn/problems/minimum-number-of-days-to-disconnect-island,86,0.448
https://leetcode.cn/problems/number-of-ways-to-reorder-array-to-get-same-bst,67,0.493
https://leetcode.cn/problems/count-all-possible-routes,130,0.567
https://leetcode.cn/problems/remove-max-number-of-edges-to-keep-graph-fully-traversable,332,0.621
https://leetcode.cn/problems/check-if-string-is-transformable-with-substring-sort-operations,54,0.438
https://leetcode.cn/problems/strange-printer-ii,71,0.644
https://leetcode.cn/problems/minimum-cost-to-connect-two-groups-of-points,92,0.656
https://leetcode.cn/problems/build-binary-expression-tree-from-infix-expression,34,0.664
https://leetcode.cn/problems/maximum-number-of-achievable-transfer-requests,264,0.62
https://leetcode.cn/problems/find-servers-that-handled-most-number-of-requests,205,0.484
https://leetcode.cn/problems/maximum-number-of-visible-points,163,0.444
https://leetcode.cn/problems/minimum-one-bit-operations-to-make-integers-zero,76,0.608
https://leetcode.cn/problems/count-subtrees-with-max-distance-between-cities,104,0.789
https://leetcode.cn/problems/fancy-sequence,120,0.18
https://leetcode.cn/problems/graph-connectivity-with-threshold,67,0.428
https://leetcode.cn/problems/rank-transform-of-a-matrix,98,0.572
https://leetcode.cn/problems/hopper-company-queries-i,63,0.491
https://leetcode.cn/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,67,0.474
https://leetcode.cn/problems/kth-smallest-instructions,81,0.489
https://leetcode.cn/problems/hopper-company-queries-ii,41,0.408
https://leetcode.cn/problems/create-sorted-array-through-instructions,102,0.499
https://leetcode.cn/problems/hopper-company-queries-iii,40,0.637
https://leetcode.cn/problems/distribute-repeating-integers,66,0.402
https://leetcode.cn/problems/maximize-grid-happiness,72,0.645
https://leetcode.cn/problems/minimum-initial-energy-to-finish-tasks,132,0.657
https://leetcode.cn/problems/minimum-number-of-removals-to-make-mountain-array,171,0.517
https://leetcode.cn/problems/minimize-deviation-in-array,76,0.457
https://leetcode.cn/problems/minimum-incompatibility,115,0.587
https://leetcode.cn/problems/delivering-boxes-from-storage-to-ports,100,0.584
